"","Work","Constant","HusbandInc","EducYears","ExpYears","ExpYears2","Age","NSmallChild","NBigChild"
"1",1,1,22.39494,12,7,0.49,43,0,3
"2",0,1,7.232,8,10,1,34,0,7
"3",1,1,18.27199,12,4,0.16,41,1,5
"4",0,1,28.069,14,2,0.04,43,0,2
"5",1,1,23.8,12,24,5.76,45,0,1
"6",0,1,96,17,1,0.01,34,1,2
"7",0,1,37.3,12,13,1.69,45,0,2
"8",0,1,21.768,14,15,2.25,36,1,0
"9",1,1,7.799889,12,10,1,31,0,1
"10",0,1,28.63,16,6,0.36,37,0,3
"11",0,1,22.8,12,12,1.44,30,1,0
"12",1,1,17.20102,12,19,3.61,38,0,0
"13",0,1,13.075,12,17,2.89,43,1,1
"14",0,1,6,12,0,0,35,1,3
"15",0,1,16.05,17,10,1,30,2,0
"16",1,1,13.30008,12,19,3.61,54,0,0
"17",1,1,23.15,12,8,0.64,40,0,1
"18",1,1,10.50008,13,36,12.96,59,0,0
"19",1,1,25.7,12,9,0.81,47,0,1
"20",0,1,21.1,12,20,4,47,0,0
"21",0,1,11.55,12,7,0.49,32,1,1
"22",0,1,6.34,5,0,0,57,0,0
"23",0,1,10.55,12,0,0,56,0,0
"24",1,1,25.00006,10,13,1.69,43,0,1
"25",1,1,18.19499,12,14,1.96,43,0,1
"26",0,1,8.1,12,7,0.49,30,1,2
"27",1,1,25.99992,13,15,2.25,34,0,1
"28",1,1,23.5,16,7,0.49,35,1,2
"29",1,1,22.29993,10,8,0.64,47,0,0
"30",0,1,20.883,16,8,0.64,44,0,2
"31",1,1,44.00004,14,15,2.25,46,0,0
"32",1,1,17.2,16,8,0.64,34,0,2
"33",1,1,17.9,12,6,0.36,40,0,2
"34",0,1,7.04,9,0,0,34,0,1
"35",1,1,34.60001,13,19,3.61,54,0,3
"36",0,1,9.09,12,1,0.01,36,0,2
"37",0,1,20.528,9,0,0,36,1,1
"38",1,1,30.75006,10,27,7.29,48,0,0
"39",1,1,18.21995,16,16,2.56,54,0,0
"40",0,1,8.117,12,18,3.24,51,0,0
"41",1,1,32.02502,17,10,1,38,0,2
"42",0,1,21.417,12,7,0.49,44,0,3
"43",0,1,14.694,12,3,0.09,30,0,0
"44",1,1,52.49995,13,25,6.25,45,0,1
"45",1,1,27.19999,9,11,1.21,53,0,0
"46",1,1,10.70007,12,21,4.41,51,0,0
"47",1,1,19.49998,12,5,0.25,30,0,2
"48",1,1,31.2,13,4,0.16,33,0,3
"49",1,1,9.048026,9,1,0.01,34,0,4
"50",0,1,16.6,12,8,0.64,32,0,3
"51",1,1,28.03994,12,19,3.61,37,0,3
"52",0,1,63.2,16,22,4.84,50,0,0
"53",1,1,23.67506,16,4,0.16,45,0,3
"54",0,1,23.5,12,5,0.25,33,1,3
"55",1,1,17.15,12,2,0.04,32,0,1
"56",1,1,22.5,16,6,0.36,31,1,2
"57",0,1,21.95,12,0,0,45,0,0
"58",0,1,37.25,17,4,0.16,38,0,2
"59",0,1,18.52,12,7,0.49,33,2,0
"60",1,1,23.66802,11,9,0.81,39,0,1
"61",1,1,11.09992,12,19,3.61,36,0,1
"62",0,1,28.363,9,12,1.44,39,0,3
